"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 18:02:15 UTC 2024","Tue Aug 27 18:02:16 UTC 2024","191","tests","test_meme_api","TestMemeAPI","","","test_authorization",""
"passed","Tue Aug 27 18:02:16 UTC 2024","Tue Aug 27 18:02:16 UTC 2024","196","tests","test_meme_api","TestMemeAPI","","","test_add_meme",""
"passed","Tue Aug 27 18:02:16 UTC 2024","Tue Aug 27 18:02:17 UTC 2024","371","tests","test_meme_api","TestMemeAPI","","","test_delete_meme",""
